"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Maf.1",8.4932674496314e-72,0.402863382879572,0.56,0.271,1.22795660786771e-67,"1","Maf"
"Plekha2.1",9.16761601773243e-72,0.406282961950038,0.544,0.285,1.32545392384376e-67,"1","Plekha2"
"Cbx5",1.01156756390456e-71,0.425545800092889,0.644,0.371,1.46252438389322e-67,"1","Cbx5"
"Mtpn.1",1.38685443883576e-71,0.449490873707907,0.627,0.383,2.00511414766875e-67,"1","Mtpn"
"Topbp1",7.33810127423483e-71,0.424291001021676,0.648,0.383,1.06094268222887e-66,"1","Topbp1"
"Fdps",7.71778698442754e-71,0.413196593442831,0.344,0.129,1.11583764220853e-66,"1","Fdps"
"Myadm",8.26233332932725e-71,0.265454058063838,0.145,0.019,1.19456815275413e-66,"1","Myadm"
"Ect2.1",8.54598904779711e-71,0.364448199449301,0.283,0.091,1.23557909653051e-66,"1","Ect2"
"Ephx1.1",1.82273962466874e-70,-0.528225621306655,0.073,0.291,2.63531694934606e-66,"1","Ephx1"
"Gm23935",1.87266421323168e-70,-0.35570584347077,0.982,0.989,2.70749791949036e-66,"1","Gm23935"
"Itgb7.1",1.96056640665305e-70,0.46244067196166,0.852,0.724,2.83458691073898e-66,"1","Itgb7"
"Psat1",2.42154789283463e-70,0.409451273148627,0.545,0.287,3.50107394346031e-66,"1","Psat1"
"Fam188a",2.70144330499544e-70,0.335144554164087,0.248,0.071,3.90574673036241e-66,"1","Fam188a"
"Atp5a1",3.18393896235236e-70,0.348702296251127,0.883,0.77,4.60333895176904e-66,"1","Atp5a1"
"Bach2.1",4.3090338600177e-70,-0.490965990469492,0.016,0.201,6.23000115481359e-66,"1","Bach2"
"Ccr10",1.12034928919739e-69,0.33518980386502,0.107,0.006,1.61980100232159e-65,"1","Ccr10"
"Kif23.1",1.45775633380585e-69,0.358128802710184,0.352,0.133,2.1076241074165e-65,"1","Kif23"
"Snrnp25",3.69060489446545e-69,0.344008395303813,0.34,0.129,5.33587655641815e-65,"1","Snrnp25"
"Bub1b.1",5.34896348799738e-69,0.351863485921749,0.382,0.153,7.73353141094661e-65,"1","Bub1b"
"Aspm.1",9.69338875914226e-69,0.370648402268692,0.354,0.133,1.40147014679679e-64,"1","Aspm"
"Macf1",1.71013379747001e-68,-0.516470364574635,0.723,0.826,2.47251144438213e-64,"1","Macf1"
"Ptpn7.1",4.82907757871249e-68,0.422048218551252,0.721,0.482,6.98188036330252e-64,"1","Ptpn7"
"Iqgap2.1",5.18557881580063e-68,0.405066462730962,0.45,0.209,7.49730985188455e-64,"1","Iqgap2"
"Stx11",5.61350785573253e-68,0.35638680011591,0.313,0.112,8.11600965781809e-64,"1","Stx11"
"Pdia6",5.93840834327002e-68,0.432793710344773,0.62,0.369,8.5857507826998e-64,"1","Pdia6"
"Gmnn",7.46915948039052e-68,0.351896444553783,0.415,0.182,1.07989107767486e-63,"1","Gmnn"
"Sdhb",1.24022469122347e-67,0.399149962311858,0.605,0.354,1.79311685857089e-63,"1","Sdhb"
"Myl6",1.42946511616975e-67,0.437773313758125,0.694,0.46,2.06672066495822e-63,"1","Myl6"
"Ppil1",1.4619941963772e-67,0.402952899966205,0.452,0.217,2.11375120912215e-63,"1","Ppil1"
"Cdc34",1.48431779309188e-67,0.430539718296751,0.501,0.263,2.14602666525223e-63,"1","Cdc34"
"Rom1",1.63315732724648e-67,0.268319554788433,0.151,0.023,2.36121886373296e-63,"1","Rom1"
"Rfc5",2.5785415045865e-67,0.366164580742855,0.397,0.173,3.72805530733116e-63,"1","Rfc5"
"Gpr83.1",2.70458077261423e-67,-0.623848808810308,0.05,0.252,3.91028288104565e-63,"1","Gpr83"
"B4galt5",6.25828122110647e-67,0.350748761187784,0.296,0.102,9.04822298947573e-63,"1","B4galt5"
"Dera",6.69595436425947e-67,0.344654331565858,0.421,0.189,9.68101081984635e-63,"1","Dera"
"Ccnf.1",6.81904931627603e-67,0.370432143049728,0.281,0.094,9.85898150147189e-63,"1","Ccnf"
"Rnf125",9.23654173507458e-67,0.251360469219568,0.193,0.043,1.33541920405708e-62,"1","Rnf125"
"Sla.1",9.88172919915794e-67,0.50846899899247,0.65,0.412,1.42870040761425e-62,"1","Sla"
"Lrrfip1.1",1.2972374166986e-66,0.438188423834448,0.63,0.386,1.87554585706284e-62,"1","Lrrfip1"
"Ddx39",1.34023330113449e-66,0.416405847008279,0.521,0.278,1.93770930678025e-62,"1","Ddx39"
"Foxm1.1",1.63742411787329e-66,0.328114024981663,0.284,0.095,2.3673877896212e-62,"1","Foxm1"
"Lmna",2.03350794716909e-66,0.326212806488034,0.158,0.027,2.94004579001708e-62,"1","Lmna"
"Prdx4.1",2.68238505408006e-66,0.363263504732332,0.425,0.193,3.87819231118895e-62,"1","Prdx4"
"Atp5g3",2.70447456471776e-66,0.404004834417534,0.705,0.488,3.91012932566893e-62,"1","Atp5g3"
"Hist2h2bb.1",3.87696344339974e-66,0.337627166953795,0.269,0.087,5.60531374646734e-62,"1","Hist2h2bb"
"Ccne1",6.93686837069748e-66,0.354563836358276,0.271,0.089,1.00293242903544e-61,"1","Ccne1"
"Srsf1",7.62452836740731e-66,0.379942167212398,0.716,0.478,1.10235431135975e-61,"1","Srsf1"
"Cmpk2",1.07857329321701e-65,0.288119062649116,0.171,0.034,1.55940126733315e-61,"1","Cmpk2"
"Gpsm2.1",1.15964754963323e-65,0.31486196611155,0.24,0.07,1.67661842725973e-61,"1","Gpsm2"
"Uqcrfs1",2.10700047048455e-65,0.383654304667224,0.501,0.258,3.04630128022656e-61,"1","Uqcrfs1"
"Kpna2.1",2.42965149339187e-65,0.412099466187698,0.315,0.12,3.51279012914596e-61,"1","Kpna2"
"Rpl12.1",2.60605468478837e-65,-0.297709189734996,0.948,0.971,3.76783386326703e-61,"1","Rpl12"
"Tnfrsf1b.1",2.85997862525057e-65,0.487689908191507,0.622,0.387,4.13495709638727e-61,"1","Tnfrsf1b"
"Mdh2",4.38638921719482e-65,0.394091737954896,0.639,0.402,6.34184153022027e-61,"1","Mdh2"
"Nusap1.1",4.46462278422905e-65,0.423223335033889,0.357,0.143,6.45495162143836e-61,"1","Nusap1"
"Mcm2",5.77905474480428e-65,0.423606831023029,0.58,0.334,8.35535735003803e-61,"1","Mcm2"
"Hras",6.02960149179354e-65,0.357593578785428,0.379,0.163,8.7175978368351e-61,"1","Hras"
"Kif14.1",6.69402617001966e-65,0.34269325743325,0.255,0.08,9.67822303661442e-61,"1","Kif14"
"Rac1.1",8.92624017983974e-65,0.398595564633871,0.708,0.486,1.29055580520123e-60,"1","Rac1"
"Hsp90aa1",1.272618050038e-64,0.465692105083693,0.743,0.573,1.83995117674493e-60,"1","Hsp90aa1"
"Angptl2.1",1.51181197353442e-64,0.410805952302482,0.231,0.066,2.18577775133606e-60,"1","Angptl2"
"Prr11.1",1.63046779550154e-64,0.336818297512095,0.248,0.076,2.35733033873613e-60,"1","Prr11"
"Ccdc124",1.7235291531067e-64,0.353374360204991,0.434,0.203,2.49187844956166e-60,"1","Ccdc124"
"Lad1.1",1.83218455869562e-64,-0.749983132776819,0.026,0.207,2.64897243496212e-60,"1","Lad1"
"Aurkb.1",2.65683265720352e-64,0.333726378725845,0.262,0.085,3.84124865578484e-60,"1","Aurkb"
"Kif20a.1",3.86422765317583e-64,0.317393796045485,0.398,0.167,5.58690034096161e-60,"1","Kif20a"
"Ripk3",7.54548229817028e-64,0.350100806898289,0.32,0.123,1.09092583066946e-59,"1","Ripk3"
"Ybx3",1.53360223540963e-63,0.449667878902216,0.553,0.321,2.21728211195525e-59,"1","Ybx3"
"Xpo1",1.67415186838089e-63,0.401775486522689,0.71,0.489,2.42048877130509e-59,"1","Xpo1"
"Dnajb11",1.96573314537935e-63,0.376258409559557,0.491,0.256,2.84205698158947e-59,"1","Dnajb11"
"Chsy1",2.19143327734763e-63,0.320238494649724,0.251,0.079,3.1683742323892e-59,"1","Chsy1"
"Coro7.1",2.92318190373256e-63,0.381347946893931,0.442,0.215,4.22633639641653e-59,"1","Coro7"
"Wdr1",2.92771661483698e-63,0.379386858185816,0.771,0.557,4.23289268173131e-59,"1","Wdr1"
"Lpgat1",3.10568752014145e-63,0.325780374259436,0.266,0.088,4.49020301662051e-59,"1","Lpgat1"
"Rilpl2",4.228354239595e-63,0.399279455074365,0.51,0.264,6.11335455960645e-59,"1","Rilpl2"
"Phgdh",6.37148639628677e-63,0.387851699509553,0.539,0.295,9.21189503175141e-59,"1","Phgdh"
"Eea1.1",6.6825384550141e-63,0.408926851866628,0.347,0.143,9.66161409825939e-59,"1","Eea1"
"Nkg7",9.92990196501812e-63,0.432533312022833,0.208,0.055,1.43566522610232e-58,"1","Nkg7"
"Ptp4a2",1.19116776496326e-62,0.37429434446225,0.816,0.627,1.72219035458387e-58,"1","Ptp4a2"
"Psmc3",1.36362653089122e-62,0.389713339073422,0.716,0.492,1.97153123836253e-58,"1","Psmc3"
"Cdk6",1.97099220547707e-62,0.315444684998131,0.264,0.087,2.84966053067875e-58,"1","Cdk6"
"Psmb4",2.51930624535723e-62,0.388286351475709,0.714,0.5,3.64241296953748e-58,"1","Psmb4"
"Dynll1",2.70729344784826e-62,0.409857645601191,0.561,0.326,3.91420486689902e-58,"1","Dynll1"
"Arpc3",3.47879037232777e-62,0.393030813062149,0.68,0.445,5.02963512031149e-58,"1","Arpc3"
"Gbp3.1",3.88204658075816e-62,0.394367688710572,0.517,0.268,5.61266294646015e-58,"1","Gbp3"
"Shcbp1.1",4.40432638002394e-62,0.295776071551991,0.269,0.09,6.36777508023861e-58,"1","Shcbp1"
"Psmd1",4.43826125461756e-62,0.418840443174784,0.604,0.373,6.41683812192606e-58,"1","Psmd1"
"Cox6a1",1.31198083971486e-61,0.383961559158342,0.632,0.404,1.89686189805974e-57,"1","Cox6a1"
"Tmem30a.1",1.35953661204666e-61,0.377560640517317,0.526,0.288,1.96561803369706e-57,"1","Tmem30a"
"Dek.1",1.62630845500376e-61,0.392861115573057,0.667,0.433,2.35131676424444e-57,"1","Dek"
"Foxp1",2.06352916570179e-61,-0.548961278493062,0.195,0.407,2.98345046777166e-57,"1","Foxp1"
"Pbk",2.09353880920652e-61,0.284172322255202,0.233,0.07,3.02683841035078e-57,"1","Pbk"
"Creld2",2.44583151678502e-61,0.354793187597565,0.367,0.157,3.53618320696778e-57,"1","Creld2"
"Chd3",2.73643538576286e-61,-0.445031810848414,0.742,0.82,3.95633828073595e-57,"1","Chd3"
"Diap3.1",5.74592796852566e-61,0.335910947219505,0.326,0.128,8.3074626568944e-57,"1","Diap3"
"Hint1",6.29139087582708e-61,0.37985403102984,0.654,0.425,9.0960929282708e-57,"1","Hint1"
"Dtx1.1",7.88258413621825e-61,0.453213348977329,0.345,0.143,1.13966401441443e-56,"1","Dtx1"
"Gdi2",9.33446774868725e-61,0.347527430353089,0.784,0.591,1.3495773471052e-56,"1","Gdi2"
"Arhgap19.1",1.13981649356692e-60,0.267296688180499,0.248,0.077,1.64794668639905e-56,"1","Arhgap19"
"Cdkn2c.1",1.37482939612023e-60,0.391246387482255,0.267,0.094,1.98772834091063e-56,"1","Cdkn2c"
"Ikzf3.1",1.5966125737032e-60,0.438065970790627,0.611,0.381,2.30838245906008e-56,"1","Ikzf3"
"Cdc27",1.64528578600825e-60,0.321407328989739,0.373,0.162,2.37875418941073e-56,"1","Cdc27"
"Clta",2.00757807425501e-60,0.385330765922966,0.607,0.376,2.9025563797579e-56,"1","Clta"
"Bard1",5.68804539033125e-60,0.302266569289391,0.279,0.101,8.22377602534091e-56,"1","Bard1"
"Ahcy",5.88807189284699e-60,0.33338185575329,0.367,0.161,8.51297434267818e-56,"1","Ahcy"
"Pmm1",7.15108814206919e-60,0.272310114305533,0.209,0.058,1.03390432358036e-55,"1","Pmm1"
"Pten.1",1.04616492729254e-59,0.414114167922919,0.556,0.33,1.51254525187955e-55,"1","Pten"
"Ahnak.1",1.51360653579598e-59,0.253420994023874,0.807,0.532,2.18837232945383e-55,"1","Ahnak"
"Ppp2ca",1.81639267116554e-59,0.37781554289238,0.723,0.53,2.62614052397113e-55,"1","Ppp2ca"
"Fkbp2",1.89070908843134e-59,0.333687239120033,0.345,0.145,2.73358720005403e-55,"1","Fkbp2"
"Srgn",2.11022295921669e-59,0.388072215203048,0.817,0.605,3.05096035443549e-55,"1","Srgn"
"Sdhd",5.83207679298692e-59,0.335763207219336,0.364,0.161,8.43201662730049e-55,"1","Sdhd"
"Trpv2.1",6.11872726137647e-59,0.333860106139161,0.331,0.137,8.8464558744981e-55,"1","Trpv2"
"Ckap5.1",6.29429467734797e-59,0.423252481556095,0.496,0.269,9.1002912445097e-55,"1","Ckap5"
"Cxcr6",6.45944974029588e-59,0.362588177111619,0.112,0.013,9.33907243451979e-55,"1","Cxcr6"
"Hmgb1.1",6.70094435766822e-59,0.355569145313981,0.501,0.268,9.68822535231671e-55,"1","Hmgb1"
"Psmd13",8.26978915805575e-59,0.377043803727697,0.592,0.359,1.1956461164717e-54,"1","Psmd13"
"Cd48.1",1.18640246024109e-58,0.372109470325688,0.463,0.243,1.71530067701656e-54,"1","Cd48"
"Cdc42se1.1",1.35090468968938e-58,0.394475962049227,0.529,0.305,1.9531380003529e-54,"1","Cdc42se1"
"Ptma",1.6706870199949e-58,0.322019572017283,0.852,0.733,2.41547929350862e-54,"1","Ptma"
"Prex1.1",1.74316379307718e-58,0.401822795654603,0.443,0.226,2.52026621203099e-54,"1","Prex1"
"Def6.1",3.23881334945856e-58,0.375195789540316,0.594,0.359,4.68267634064719e-54,"1","Def6"
"Hist1h4d.1",4.02510878320392e-58,0.398348993752379,0.388,0.181,5.81950227875623e-54,"1","Hist1h4d"
"Ezh2.1",4.50309320181479e-58,0.333169804868222,0.584,0.332,6.51057215118383e-54,"1","Ezh2"
"Snx2.1",6.29475434126817e-58,0.394212490259538,0.454,0.236,9.10095582660552e-54,"1","Snx2"
"Gcat",1.0089800427267e-57,0.254046931961656,0.229,0.071,1.45878334577427e-53,"1","Gcat"
"Cyp51",1.77743912704293e-57,0.368595103814251,0.367,0.164,2.56982148987866e-53,"1","Cyp51"
"Kif2c.1",4.29691791752327e-57,0.298322208312019,0.256,0.087,6.21248392515514e-53,"1","Kif2c"
"Plec.1",5.38325163087313e-57,0.40819020792705,0.698,0.481,7.78310520791638e-53,"1","Plec"
"Hspa5",5.59491864329415e-57,0.339141369565008,0.883,0.785,8.08913337447469e-53,"1","Hspa5"
"Pomp",5.83045997144078e-57,0.365162902602876,0.606,0.371,8.42967902670908e-53,"1","Pomp"
"Cs",6.69085290674563e-57,0.364816766449867,0.552,0.327,9.67363513257283e-53,"1","Cs"
"Eif4g2",6.71450878311411e-57,0.279719735827376,0.93,0.869,9.70783679862639e-53,"1","Eif4g2"
"Zfp36l1.1",8.44170676959875e-57,-0.536971681940779,0.192,0.403,1.22050196474859e-52,"1","Zfp36l1"
"Gpx1",8.6324316527388e-57,0.400947650734836,0.663,0.459,1.24807696835298e-52,"1","Gpx1"
"Anln.1",9.25557800861789e-57,0.263784478254937,0.231,0.072,1.33817146848597e-52,"1","Anln"
"Mybl2",1.40265810180435e-56,0.252245473977795,0.217,0.065,2.02796308358873e-52,"1","Mybl2"
"Hist1h2an.1",2.6218330383256e-56,0.302746491249933,0.229,0.073,3.79064620681115e-52,"1","Hist1h2an"
"Eif4h",3.8285095591138e-56,0.363392106766738,0.692,0.475,5.53525912056674e-52,"1","Eif4h"
"Runx3.1",5.52782037619288e-56,0.341019821605428,0.336,0.142,7.99212269989967e-52,"1","Runx3"
"Smdt1",6.15978745113662e-56,0.352943839700564,0.485,0.257,8.90582069685333e-52,"1","Smdt1"
"Capg.1",7.34898309197232e-56,0.37611738002096,0.842,0.671,1.06251597543736e-51,"1","Capg"
"Dhfr",8.02199966699318e-56,0.3106968186402,0.33,0.138,1.15982071185387e-51,"1","Dhfr"
"Bsg",8.79971371803758e-56,0.378904116890881,0.649,0.432,1.27226260935387e-51,"1","Bsg"
"Grb2.1",1.57381796167612e-55,0.383302068515146,0.599,0.372,2.27542600899133e-51,"1","Grb2"
"Suz12",1.72774074843315e-55,0.379026574308312,0.615,0.387,2.49796757408466e-51,"1","Suz12"
"Fignl1",2.4410351778787e-55,0.321915224744975,0.352,0.155,3.52924866017703e-51,"1","Fignl1"
"1700017B05Rik",2.78763490636985e-55,0.296425450839869,0.266,0.096,4.03036254762953e-51,"1","1700017B05Rik"
"Rnpep",3.20416617732476e-55,0.335795369976919,0.382,0.177,4.63258345917614e-51,"1","Rnpep"
"Hist2h2ac.1",5.19477558157215e-55,0.3151053461502,0.26,0.094,7.51060653583702e-51,"1","Hist2h2ac"
"Atp2a2",5.43272262067837e-55,0.379453637898903,0.618,0.399,7.85463036497679e-51,"1","Atp2a2"
"Sema4d.1",6.92285105057671e-55,0.392800345453457,0.706,0.509,1.00090580489238e-50,"1","Sema4d"
"Anp32a",9.69079551493795e-55,0.337447570032853,0.836,0.73,1.40109521554973e-50,"1","Anp32a"
"Tmem14c",1.13663715440705e-54,0.346965738861665,0.448,0.233,1.64334999784171e-50,"1","Tmem14c"
"Dstn",1.24028867404368e-54,0.273962728026783,0.197,0.056,1.79320936493235e-50,"1","Dstn"
"Id3.1",1.45614302599137e-54,-0.461642899646013,0.048,0.219,2.10529158697832e-50,"1","Id3"
"Vmp1",1.63457714052297e-54,0.362121536496606,0.37,0.173,2.36327162976811e-50,"1","Vmp1"
"Coro1b.1",2.26550514315543e-54,0.385479933272446,0.746,0.531,3.27546733597413e-50,"1","Coro1b"
"Slc16a3",2.5147208744798e-54,0.405367877761693,0.213,0.066,3.6357834403229e-50,"1","Slc16a3"
"Slc25a5",2.67957437106079e-54,0.337049008847211,0.781,0.593,3.87412862567969e-50,"1","Slc25a5"
"Nup210",3.09460913304047e-54,0.379583704142244,0.708,0.513,4.47418588454991e-50,"1","Nup210"
"Rps27l",3.55204954206042e-54,0.319871777424261,0.375,0.176,5.13555322791096e-50,"1","Rps27l"
"Podnl1.1",3.79727693056904e-54,0.26168820551153,0.188,0.05,5.49010298621671e-50,"1","Podnl1"
"Dap.1",3.87371553184106e-54,0.331974063450047,0.335,0.146,5.60061791593581e-50,"1","Dap"
"Nup50",3.99142446562063e-54,0.349298272706048,0.511,0.284,5.77080149239431e-50,"1","Nup50"
"Rpa1.1",4.39421918488572e-54,0.355255817533045,0.677,0.448,6.35316209750777e-50,"1","Rpa1"
"Anxa7",6.60563075659088e-54,0.313868591314294,0.316,0.134,9.5504209478791e-50,"1","Anxa7"
"Card6",1.01140408628953e-53,-0.426522870295101,0.021,0.174,1.4622880279574e-49,"1","Card6"
"Mcm7",1.36729277808178e-53,0.362000727991236,0.613,0.375,1.97683189855063e-49,"1","Mcm7"
"Sec61a1",1.55914185277819e-53,0.339699830492503,0.592,0.366,2.25420729074671e-49,"1","Sec61a1"
"Slamf6.1",1.71229521524069e-53,0.348074035221091,0.449,0.232,2.47563642219499e-49,"1","Slamf6"
"Raly",1.82767712296986e-53,0.309471001746906,0.804,0.629,2.64245558438983e-49,"1","Raly"
"Emp3.1",2.5847264032774e-53,0.369313243281421,0.503,0.283,3.73699743385846e-49,"1","Emp3"
"Ctla4.1",2.87595201609068e-53,0.634382518130701,0.527,0.329,4.15805142486391e-49,"1","Ctla4"
"Fmr1",3.70349659257385e-53,0.342839027119366,0.414,0.21,5.35451537354327e-49,"1","Fmr1"
"S1pr1.1",4.07556877332491e-53,0.414989073541029,0.519,0.306,5.89245733247316e-49,"1","S1pr1"
"Ms4a4b",4.11507833243309e-53,-0.458626859474939,0.373,0.578,5.94958025303176e-49,"1","Ms4a4b"
"Ap2s1",5.27353028875738e-53,0.322488284588822,0.604,0.367,7.62447009148542e-49,"1","Ap2s1"
"Anapc5",6.03008130056726e-53,0.360648284751643,0.687,0.479,8.71829154436015e-49,"1","Anapc5"
"Kif20b.1",1.04116830022451e-52,0.29310879117856,0.293,0.117,1.5053211284646e-48,"1","Kif20b"
"Lrrc32.1",1.88960288442103e-52,-0.560426706900387,0.103,0.288,2.73198785029593e-48,"1","Lrrc32"
"Kif5b",2.50901848900646e-52,0.340132147439747,0.566,0.34,3.62753893140554e-48,"1","Kif5b"
"Orc6",3.18535311382474e-52,0.302257411905715,0.297,0.123,4.60538353196781e-48,"1","Orc6"
"1110008F13Rik",3.21063176266363e-52,0.288066170159539,0.37,0.173,4.64193140245907e-48,"1","1110008F13Rik"
"Psma2",5.02952422360167e-52,0.364235256843726,0.67,0.462,7.27168612248329e-48,"1","Psma2"
"Mbd2.1",5.24411135263459e-52,0.385446076897547,0.593,0.384,7.58193619363909e-48,"1","Mbd2"
"Hmgcs1",5.63442791093729e-52,0.311858160984966,0.281,0.11,8.14625587363313e-48,"1","Hmgcs1"
"Vamp3",6.11942100471288e-52,0.293465827425345,0.309,0.129,8.84745888861388e-48,"1","Vamp3"
"Bzw1",6.4200977942354e-52,0.349626213913509,0.715,0.514,9.28217739090554e-48,"1","Bzw1"
"Dck",1.08451696299264e-51,0.310400112917747,0.299,0.125,1.56799462509475e-47,"1","Dck"
"Cit.1",1.40534013669054e-51,0.294067497896819,0.294,0.119,2.03184076962719e-47,"1","Cit"
"Nup107",2.36656632820763e-51,0.317442760522105,0.403,0.201,3.42158159732259e-47,"1","Nup107"
"Ywhaz",2.56431110176018e-51,0.348381226072332,0.729,0.545,3.70748099092487e-47,"1","Ywhaz"
"Actr1a.1",2.86995953296333e-51,0.323797087328647,0.465,0.249,4.14938749275838e-47,"1","Actr1a"
"Smchd1",3.01228822257719e-51,0.34450025014677,0.692,0.481,4.35516631220211e-47,"1","Smchd1"
"Psmb7",3.96158657063089e-51,0.320384966238472,0.503,0.283,5.72766186381815e-47,"1","Psmb7"
"Pmf1",4.79295831123036e-51,0.297738162846537,0.363,0.17,6.92965912637685e-47,"1","Pmf1"
"Ykt6",5.02274136335672e-51,0.313135709547848,0.41,0.207,7.26187946314114e-47,"1","Ykt6"
"Ak3",5.95841811490247e-51,0.312699672971598,0.31,0.132,8.61468091052599e-47,"1","Ak3"
"Capns1",6.01108646137129e-51,0.373445643322212,0.585,0.375,8.69082880585062e-47,"1","Capns1"
"Nasp",7.15408972965962e-51,0.321416644561383,0.501,0.277,1.03433829311419e-46,"1","Nasp"
"Oxsr1",7.45192007478016e-51,0.508379846893339,0.401,0.21,1.07739860441172e-46,"1","Oxsr1"
"Esyt1.1",7.52694088231073e-51,0.349264182268844,0.643,0.421,1.08824511276449e-46,"1","Esyt1"
"Psma6",7.58666961329859e-51,0.347092156660209,0.688,0.484,1.09688069269071e-46,"1","Psma6"
"Sub1",8.04092862455921e-51,0.348669093545329,0.565,0.347,1.16255746053877e-46,"1","Sub1"
"Txnip.1",9.70508855159825e-51,-0.577811785482453,0.187,0.379,1.40316170279007e-46,"1","Txnip"
"Cd47.1",1.16877915507774e-50,0.338736440612081,0.718,0.508,1.6898209024114e-46,"1","Cd47"
"Smco4",1.2352543554237e-50,0.285293345938295,0.26,0.099,1.78593074707159e-46,"1","Smco4"
"Rps6ka1",1.36051999564974e-50,0.358127632425065,0.635,0.417,1.9670398097104e-46,"1","Rps6ka1"
"Ncaph2.1",1.90131532644943e-50,0.352449558931366,0.621,0.395,2.74892169898058e-46,"1","Ncaph2"
"Vps36",1.94221799417873e-50,0.301797480347059,0.39,0.192,2.8080587759836e-46,"1","Vps36"
"Rpa2",2.16898994870248e-50,0.328696561076075,0.4,0.201,3.13592566783404e-46,"1","Rpa2"
"Fkbp1a",2.21665876062603e-50,0.369371419709893,0.502,0.291,3.20484523611311e-46,"1","Fkbp1a"
"Gbp2b.1",2.5020240738346e-50,-0.755822608528307,0.01,0.146,3.61742640595006e-46,"1","Gbp2b"
"Rbbp7",3.13606749141975e-50,0.346369518104623,0.695,0.506,4.53412637909467e-46,"1","Rbbp7"
"H3f3b.1",3.92662525933684e-50,0.356122964869803,0.676,0.478,5.6771147999492e-46,"1","H3f3b"
"Szrd1",4.97113269850457e-50,0.329008345031681,0.575,0.347,7.18726365549791e-46,"1","Szrd1"
"Mycbp2",5.61413590325875e-50,-0.501108288326302,0.493,0.633,8.1169176889315e-46,"1","Mycbp2"
"Ndufb8",7.79267129283535e-50,0.326080174280636,0.507,0.29,1.12666441551813e-45,"1","Ndufb8"
"Atad2.1",1.25677457280499e-49,0.31726696337686,0.576,0.34,1.81704467736145e-45,"1","Atad2"
"Ndc80.1",1.91854958561557e-49,0.274066881373048,0.334,0.147,2.773838990883e-45,"1","Ndc80"
"Slc25a24",2.48430559629768e-49,0.288123708656437,0.204,0.066,3.59180903112719e-45,"1","Slc25a24"
"Sypl",3.28302479045884e-49,0.294145829039067,0.304,0.13,4.74659724204539e-45,"1","Sypl"
"Rap1a",3.33399431234314e-49,0.33728996570515,0.562,0.343,4.82028897678571e-45,"1","Rap1a"
"Mxd4",3.78679842963568e-49,-0.444840447507247,0.152,0.355,5.47495316956727e-45,"1","Mxd4"
"Hadh",3.95482895507628e-49,0.289400467214497,0.299,0.128,5.71789170324928e-45,"1","Hadh"
"Cdca5.1",3.98385074852521e-49,0.255757104739571,0.265,0.103,5.75985141221775e-45,"1","Cdca5"
"Rpl26.1",4.0944838689887e-49,-0.326318051044224,0.766,0.85,5.91980477778386e-45,"1","Rpl26"
"Arpc4",4.67859690475382e-49,0.335711258583194,0.577,0.359,6.76431540489307e-45,"1","Arpc4"
"Klrg1",4.96815913392988e-49,0.372959658436156,0.142,0.031,7.18296447583582e-45,"1","Klrg1"
"Cox5a",4.99794430475771e-49,0.324820187730901,0.525,0.312,7.2260278758187e-45,"1","Cox5a"
"Slbp",6.26312777715162e-49,0.287993284637771,0.4,0.201,9.05523014020581e-45,"1","Slbp"
"Pitpna",6.88728578883459e-49,0.336592514139377,0.733,0.543,9.95763779349706e-45,"1","Pitpna"
"Ccr7.1",7.11771066341327e-49,-0.513638893977055,0.147,0.329,1.02907860771629e-44,"1","Ccr7"
"Atxn1.1",7.40699987440319e-49,0.360720591782131,0.286,0.12,1.07090404184121e-44,"1","Atxn1"
"Polq",7.77497884146992e-49,0.252024784764547,0.214,0.072,1.12410644089972e-44,"1","Polq"
"Ostf1.1",8.44322541106542e-49,0.327269450115789,0.389,0.196,1.22072152993184e-44,"1","Ostf1"
"Gnas",8.89197863752184e-49,0.286272551920494,0.897,0.767,1.28560227141291e-44,"1","Gnas"
"Tuba1b.1",1.20991125876828e-48,0.29532449042978,0.7,0.484,1.74928969792718e-44,"1","Tuba1b"
"Psma1",1.21859669083612e-48,0.342330464449962,0.555,0.342,1.76184709561086e-44,"1","Psma1"
"Hnrnpl",1.59255807270527e-48,0.318157137574769,0.799,0.641,2.30252046151728e-44,"1","Hnrnpl"
"Ttf2.1",1.97004672052701e-48,0.264711178023909,0.339,0.153,2.84829354853795e-44,"1","Ttf2"
"Tcp1",2.36205677133448e-48,0.340484214974676,0.739,0.571,3.4150616799954e-44,"1","Tcp1"
"Gins2",2.90819478359323e-48,0.284059055062522,0.286,0.119,4.20466801811909e-44,"1","Gins2"
"Atp5c1",2.92245611918089e-48,0.316763684830542,0.72,0.526,4.22528705711173e-44,"1","Atp5c1"
"Hist1h2ak.1",3.10916915935074e-48,0.286593935236758,0.266,0.105,4.4952367705893e-44,"1","Hist1h2ak"
"Srsf2",3.42074519240412e-48,0.322736849391684,0.706,0.508,4.94571339917788e-44,"1","Srsf2"
"Psmd2",3.48325413751233e-48,0.321544818220054,0.681,0.467,5.03608883201532e-44,"1","Psmd2"
"Cpsf2",3.59220739427576e-48,0.320343441848129,0.441,0.237,5.19361345064389e-44,"1","Cpsf2"
"Capn3",4.38739792433063e-48,-0.360019880079655,0.024,0.167,6.34329991899722e-44,"1","Capn3"
