"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Snrpd1",7.46296029598641e-54,-0.479656940491345,0.086,0.338,1.07899479959371e-49,"2","Snrpd1"
"Gnas.1",7.90608912092986e-54,-0.41551916270183,0.666,0.841,1.14306236510404e-49,"2","Gnas"
"Rpl10",3.52718569316581e-53,-0.470599598484264,0.451,0.698,5.09960507517913e-49,"2","Rpl10"
"Trim28",3.68037442590269e-53,-0.50747199200944,0.221,0.497,5.3210853449701e-49,"2","Trim28"
"Hist1h1e.2",4.02962307557968e-53,-0.81912262699216,0.135,0.378,5.8260290426731e-49,"2","Hist1h1e"
"Gart.1",6.44584446510415e-53,-0.517506289108209,0.171,0.442,9.31940192764757e-49,"2","Gart"
"Rfc2.1",6.7194663783611e-53,-0.505315626119001,0.112,0.368,9.71500448983448e-49,"2","Rfc2"
"Gspt1",9.82716254251959e-53,-0.493329780293136,0.272,0.547,1.42081116039748e-48,"2","Gspt1"
"Dhx9",1.47904771122683e-52,-0.481592244648705,0.463,0.697,2.13840718089175e-48,"2","Dhx9"
"Jun.1",2.61293838627357e-52,0.581814920617488,0.319,0.131,3.77778631887433e-48,"2","Jun"
"Ube2c.2",3.16467901564172e-52,-0.54745313262707,0.01,0.217,4.5754929208148e-48,"2","Ube2c"
"Tfdp1",4.488093667164e-52,-0.452277920716735,0.06,0.296,6.48888582398571e-48,"2","Tfdp1"
"Dhfr.1",5.2231720309102e-52,-0.457451694256918,0.025,0.24,7.55166212228997e-48,"2","Dhfr"
"Tuba1c.2",6.06846775243616e-52,-0.631978719081737,0.108,0.353,8.7737906764722e-48,"2","Tuba1c"
"Nhp2",7.42806014520582e-52,-0.505907266996701,0.11,0.363,1.07394893579386e-47,"2","Nhp2"
"Bub1.2",8.10590683602895e-52,-0.441619156823864,0.009,0.213,1.17195201035307e-47,"2","Bub1"
"Suz12.1",8.33191549123183e-52,-0.499913500315943,0.241,0.511,1.2046283417223e-47,"2","Suz12"
"Hnrnpa1",9.49700781593744e-52,-0.492442830554633,0.311,0.572,1.37307739002824e-47,"2","Hnrnpa1"
"Rfwd3",1.11041177877776e-51,-0.459197203654532,0.08,0.325,1.60543334975689e-47,"2","Rfwd3"
"Ppm1g.1",1.74648679526592e-51,-0.484050104776779,0.299,0.568,2.52507060859547e-47,"2","Ppm1g"
