"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Eif5b",2.72823101745807e-118,-0.273309104805474,0.194,0.376,3.94447640504087e-114
"Cox7a2",3.07827795610831e-118,-0.253692264130867,0.154,0.32,4.45057426894139e-114
"Lsm4",1.91863419286768e-117,-0.291657496447118,0.255,0.446,2.7739613160481e-113
"Hnrnpk",2.853046169098e-117,-0.301662276090015,0.569,0.724,4.12493415128189e-113
"Cops6",3.85954704403187e-117,-0.269805513403565,0.207,0.39,5.58013311626128e-113
"N4bp1",5.0553530375694e-117,-0.28094102844862,0.108,0.252,7.30902942171784e-113
"Khsrp",5.28344916686598e-117,-0.285133831302856,0.255,0.445,7.63881080545483e-113
"Heg1",5.71341023701136e-117,-0.267969142410465,0.115,0.264,8.26044852067103e-113
"Dynll2",3.59147572894771e-116,-0.293657679519305,0.188,0.362,5.19255560891259e-112
"Dhx15",5.2258132040592e-116,-0.318213318450787,0.399,0.586,7.55548073042879e-112
"Hcfc1",9.16810410197469e-116,-0.285909149899004,0.255,0.446,1.3255244910635e-111
"Tnfaip8",1.25164917729654e-115,-0.254923692866118,0.151,0.316,1.80963438053534e-111
"Cs",2.5842694998579e-115,-0.275239274202984,0.215,0.398,3.73633684289455e-111
"Srm",3.28154869988394e-115,-0.268922356890176,0.066,0.184,4.74446311029219e-111
"Adsl",6.42003675419962e-115,-0.25903588613827,0.13,0.282,9.28208913922181e-111
"Dynll1",1.10265126042543e-114,-0.300360742793117,0.222,0.4,1.59421319232309e-110
"Ppp2ca",2.20880743587214e-114,-0.305739963474215,0.399,0.591,3.19349379078395e-110
"Tomm70a",1.10967367566838e-113,-0.292396940322421,0.224,0.405,1.60436620028134e-109
"Larp4b",1.31477940672077e-113,-0.254011573612037,0.162,0.329,1.90090806623689e-109
"Stt3a",1.38804277538427e-113,-0.257086291641486,0.166,0.333,2.00683224465058e-109
"Psmc4",1.40770409102574e-113,-0.265515465814237,0.19,0.365,2.03525857480502e-109
"Psmb8",2.16515037925655e-113,-0.2638542236915,0.742,0.853,3.13037441832912e-109
"Btg1",3.89482101261637e-113,0.372446799652876,0.488,0.318,5.63113222004075e-109
"Cap1",1.66061815661232e-112,-0.286024113614411,0.744,0.856,2.40092173083009e-108
"Cbfb",1.85213936074367e-112,-0.261052539129432,0.185,0.356,2.67782308776319e-108
"Uqcrfs1",1.98671489580753e-112,-0.261251032914586,0.169,0.334,2.87239239635852e-108
"Ppp1cc",2.98216298442511e-112,-0.264523218781784,0.178,0.348,4.31161124288182e-108
"Fubp1",1.13000525041265e-111,-0.307922304242033,0.289,0.481,1.6337615910466e-107
"Wdr1",1.14059785722565e-111,-0.290668071327326,0.427,0.624,1.64907638197684e-107
"Samhd1",1.9192755978717e-111,0.306974069023077,0.833,0.746,2.77488865940291e-107
"Api5",3.97996579894289e-111,-0.261322506679657,0.223,0.405,5.75423455211164e-107
"Dgka",6.11819498004255e-111,0.344169043773351,0.728,0.634,8.84568630214551e-107
"Ctsz",7.2978759929579e-111,-0.25995991646463,0.138,0.292,1.05512691106185e-106
"Slfn5",1.18531787860328e-110,0.455698607501965,0.266,0.114,1.71373258888462e-106
"Mdh1",4.16011329654521e-110,-0.300052931825293,0.302,0.49,6.01469180414507e-106
"Edf1",7.38693404418226e-110,-0.284171371621236,0.337,0.534,1.06800292410787e-105
"Arpc4",1.50260756314694e-109,-0.285873406425461,0.246,0.428,2.17247001479785e-105
"Tmem154",1.53912196598334e-109,-0.28064061550023,0.117,0.259,2.22526253841872e-105
"Top1",1.54313847012793e-109,-0.261394295149024,0.227,0.409,2.23106960011097e-105
"Tm9sf3",3.23605357765559e-109,-0.28265019755046,0.404,0.603,4.67868626257445e-105
"Thy1",3.394636176426e-109,-0.333844174032144,0.557,0.715,4.90796498387671e-105
"Eno1",4.44692213398362e-109,-0.338865229395199,0.379,0.56,6.42936002131352e-105
"Sub1",1.4731920484466e-108,-0.293083181975103,0.239,0.416,2.12994106364409e-104
"Nono",1.54901980367443e-108,-0.306618625212595,0.365,0.55,2.2395728321525e-104
"Abce1",1.85300695235646e-108,-0.283885754980933,0.197,0.365,2.67907745171697e-104
"Kdm2b",5.81638893650251e-107,-0.255454758960061,0.104,0.24,8.40933512439532e-103
"Polr2m",1.04292115611193e-105,-0.255502214086945,0.226,0.407,1.50785540750663e-101
"Surf4",1.80074276119941e-105,-0.267376458636139,0.227,0.404,2.60351388414211e-101
"Noc2l",1.80527213505448e-105,-0.321059568157691,0.211,0.377,2.61006245286176e-101
"Ass1",2.56079480893747e-105,-0.357210577053597,0.316,0.487,3.7023971347618e-101
"Slc38a10",1.00162195853956e-104,-0.263935983393464,0.217,0.393,1.4481450276565e-100
"Nfkb2",2.19818696897346e-104,-0.291637163970717,0.16,0.315,3.17813871974183e-100
"Ctsb",2.96207242975018e-104,-0.348627352709964,0.425,0.606,4.28256431893281e-100
"Ahsa1",3.45119758567294e-104,-0.257279898927785,0.175,0.337,4.98974146936593e-100
"Prdx2",4.25807449992249e-104,-0.260780144143601,0.252,0.433,6.15632411198794e-100
"Ewsr1",5.39060311130093e-104,-0.279851202805039,0.302,0.486,7.79373397831888e-100
"Snrnp70",2.26766371522365e-103,-0.281443203525525,0.327,0.514,3.27858819947035e-99
"G3bp2",2.68667167568832e-103,-0.270527296771051,0.297,0.484,3.88438990871018e-99
