"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","color","pval_plot","avg_logFC_plot"
"Slc43a3",6.01221025966664e-10,0.11600317996407,0.308,0.154,8.69245359342603e-06,NA,"a",8.69245359342603e-06,0.11600317996407
"Nfatc1",6.02307307233622e-10,0.1320507958778,0.57,0.343,8.70815904798371e-06,NA,"a",8.70815904798371e-06,0.1320507958778
"Atxn10",6.21247490184974e-10,0.10373109374951,0.512,0.292,8.98199621309436e-06,NA,"a",8.98199621309436e-06,0.10373109374951
"Mcm6",6.49379691520853e-10,0.181966155677019,0.867,0.684,9.38873158000849e-06,NA,"a",9.38873158000849e-06,0.181966155677019
"Ints8",6.66321470609589e-10,0.116091921334307,0.356,0.19,9.63367582207344e-06,NA,"a",9.63367582207344e-06,0.116091921334307
"Ssx2ip",7.20054743308616e-10,0.110724134169345,0.148,0.051,1.0410551478756e-05,NA,"a",1.0410551478756e-05,0.110724134169345
"mmu-mir-6236",7.28096680538303e-10,-0.225978692592397,1,1,1.05268218072228e-05,NA,"a",1.05268218072228e-05,-0.225978692592397
"Gmcl1",7.57008959841252e-10,0.0999818239079158,0.239,0.107,1.09448355413848e-05,NA,"a",1.09448355413848e-05,0.0999818239079158
"Rpl36a",7.57230143350726e-10,0.136290199257135,0.576,0.35,1.09480334125648e-05,NA,"a",1.09480334125648e-05,0.136290199257135
"Phf15",7.64713005049841e-10,0.107330946303519,0.286,0.139,1.10562206270106e-05,NA,"a",1.10562206270106e-05,0.107330946303519
"Cdc14a",8.08295453228939e-10,0.13871993882243,0.174,0.067,1.1686335662784e-05,NA,"a",1.1686335662784e-05,0.13871993882243
"Mllt3",8.10998839124219e-10,0.119601956774265,0.329,0.169,1.1725421216058e-05,NA,"a",1.1725421216058e-05,0.119601956774265
"Fam32a",8.30174283165336e-10,0.0739412172308376,0.347,0.178,1.20026597860044e-05,NA,"a",1.20026597860044e-05,0.0739412172308376
"Dap3",8.34870430658226e-10,0.101862627583093,0.456,0.258,1.20705566864566e-05,NA,"a",1.20705566864566e-05,0.101862627583093
"Twf2",8.75864015014395e-10,0.0833976436491692,0.324,0.164,1.26632419290781e-05,NA,"a",1.26632419290781e-05,0.0833976436491692
"Dut",8.86667976443102e-10,0.167916127352667,0.682,0.45,1.28194456034144e-05,NA,"a",1.28194456034144e-05,0.167916127352667
"Mcu",8.87033001393452e-10,0.115506187857698,0.23,0.104,1.28247231341465e-05,NA,"a",1.28247231341465e-05,0.115506187857698
"Fut7",8.89015958187097e-10,-0.354781070927427,0.095,0.202,1.28533927234691e-05,NA,"a",1.28533927234691e-05,-0.354781070927427
"Denr",8.92501845844561e-10,0.104514063102277,0.323,0.167,1.29037916872207e-05,NA,"a",1.29037916872207e-05,0.104514063102277
"Slc4a7",8.94775424415629e-10,0.155264590013257,0.32,0.167,1.29366630862012e-05,NA,"a",1.29366630862012e-05,0.155264590013257
"Itpr1",9.44416967504881e-10,0.142338953420332,0.426,0.244,1.36543805161856e-05,NA,"a",1.36543805161856e-05,0.142338953420332
"Mms22l",9.55612116720009e-10,0.0994797766168744,0.333,0.172,1.38162399835379e-05,NA,"a",1.38162399835379e-05,0.0994797766168744
"Ube2f",9.64685752229844e-10,0.0832176404556077,0.221,0.095,1.39474266057391e-05,NA,"a",1.39474266057391e-05,0.0832176404556077
"Ermp1",9.69208350322703e-10,0.149362609178377,0.42,0.235,1.40128143289656e-05,NA,"a",1.40128143289656e-05,0.149362609178377
"Icmt",9.9333351755491e-10,0.115735200732575,0.167,0.062,1.43616159968089e-05,NA,"a",1.43616159968089e-05,0.115735200732575
"Stmn1",1.01973873581156e-09,0.163329250554992,0.674,0.451,1.47433826423635e-05,NA,"a",1.47433826423635e-05,0.163329250554992
"Arsb",1.02423768774894e-09,0.1392398760061,0.218,0.097,1.48084284894742e-05,NA,"a",1.48084284894742e-05,0.1392398760061
"Dbi",1.0442035976998e-09,0.114495095796018,0.448,0.263,1.50970956155437e-05,NA,"a",1.50970956155437e-05,0.114495095796018
"Smurf2",1.08236781529754e-09,0.124733281509196,0.248,0.116,1.56488738735718e-05,NA,"a",1.56488738735718e-05,0.124733281509196
"Mrpl12",1.09023192307398e-09,0.158046382109435,0.421,0.245,1.57625731438036e-05,NA,"a",1.57625731438036e-05,0.158046382109435
"Rad23a",1.12700192807829e-09,0.0997512494090564,0.392,0.214,1.6294193876156e-05,NA,"a",1.6294193876156e-05,0.0997512494090564
"Timm17a",1.14310928672927e-09,0.0523818086865357,0.308,0.153,1.65270740675317e-05,NA,"a",1.65270740675317e-05,0.0523818086865357
"2810417H13Rik",1.14484955635862e-09,0.167018379893385,0.703,0.483,1.6552234885833e-05,NA,"a",1.6552234885833e-05,0.167018379893385
"Acsl5",1.16248656820569e-09,0.18543683384997,0.758,0.552,1.68072308031179e-05,NA,"a",1.68072308031179e-05,0.18543683384997
"Ptplad1",1.17269886387161e-09,0.15564328789976,0.473,0.283,1.69548801738557e-05,NA,"a",1.69548801738557e-05,0.15564328789976
"Ddx27",1.181947277199e-09,0.128477241479215,0.45,0.26,1.70885937337431e-05,NA,"a",1.70885937337431e-05,0.128477241479215
"Pmm1",1.18379115462622e-09,0.104691475724404,0.277,0.135,1.71152525135859e-05,NA,"a",1.71152525135859e-05,0.104691475724404
"Romo1",1.23675887612213e-09,0.0633414019782135,0.27,0.128,1.78810598309737e-05,NA,"a",1.78810598309737e-05,0.0633414019782135
"Pdap1",1.24983999130535e-09,0.149961906079488,0.6,0.384,1.80701865942928e-05,NA,"a",1.80701865942928e-05,0.149961906079488
"Ppp6c",1.27425117524373e-09,0.0927734620349741,0.379,0.204,1.84231234916738e-05,NA,"a",1.84231234916738e-05,0.0927734620349741
"Triobp",1.27685395325192e-09,0.0752170222991191,0.439,0.245,1.84607544561162e-05,NA,"a",1.84607544561162e-05,0.0752170222991191
"Cdk1",1.31633433994568e-09,0.130496003703754,0.421,0.241,1.90315618869346e-05,NA,"a",1.90315618869346e-05,0.130496003703754
"Acsbg1",1.31851070453328e-09,0.0900393077003913,0.197,0.081,1.90630277661422e-05,NA,"a",1.90630277661422e-05,0.0900393077003913
"Rps15",1.33065121881345e-09,0.166357926050153,0.927,0.774,1.92385553216049e-05,NA,"a",1.92385553216049e-05,0.166357926050153
"Ndufa13",1.33803960119312e-09,0.158690439112869,0.718,0.484,1.93453765540502e-05,NA,"a",1.93453765540502e-05,0.158690439112869
"Gpd2",1.35671073640189e-09,0.107487706800966,0.208,0.088,1.96153238268985e-05,NA,"a",1.96153238268985e-05,0.107487706800966
"Rpl32",1.35980826891503e-09,0.161403588103559,0.971,0.899,1.96601079519735e-05,NA,"a",1.96601079519735e-05,0.161403588103559
"Rbbp6",1.37138806257123e-09,0.0907039698325686,0.441,0.247,1.98275286086549e-05,NA,"a",1.98275286086549e-05,0.0907039698325686
"Selk",1.38350160237745e-09,0.10798853539964,0.279,0.137,2.00026661671732e-05,NA,"a",2.00026661671732e-05,0.10798853539964
"Sephs1",1.38917521845407e-09,0.100354499196416,0.477,0.277,2.00846953084089e-05,NA,"a",2.00846953084089e-05,0.100354499196416
"Gabpb2",1.40221033756645e-09,0.145848656704905,0.611,0.389,2.02731570605357e-05,NA,"a",2.02731570605357e-05,0.145848656704905
"Smap2",1.4162528222852e-09,0.0982789969890817,0.427,0.239,2.04761833045994e-05,NA,"a",2.04761833045994e-05,0.0982789969890817
"Pebp1",1.42925992886172e-09,0.1301144188873,0.424,0.243,2.06642400514827e-05,NA,"a",2.06642400514827e-05,0.1301144188873
"Mrpl45",1.45570203444892e-09,0.106990266893166,0.256,0.119,2.10465400140625e-05,NA,"a",2.10465400140625e-05,0.106990266893166
"Tmed5",1.45925135700021e-09,0.124930368211355,0.474,0.277,2.1097856119509e-05,NA,"a",2.1097856119509e-05,0.124930368211355
"Hsp90b1",1.51165827606984e-09,0.16448576998134,0.938,0.823,2.18555553554177e-05,NA,"a",2.18555553554177e-05,0.16448576998134
"Ncoa5",1.51364302440749e-09,0.0835791930890424,0.182,0.072,2.18842508468836e-05,NA,"a",2.18842508468836e-05,0.0835791930890424
"Sdhc",1.52858139588555e-09,0.104352259947554,0.35,0.185,2.21002298217133e-05,NA,"a",2.21002298217133e-05,0.104352259947554
"Elf4",1.53024432295837e-09,0.133672940504727,0.544,0.331,2.21242724213321e-05,NA,"a",2.21242724213321e-05,0.133672940504727
"Taf12",1.54345163128076e-09,0.140899029041792,0.329,0.176,2.23152236850573e-05,NA,"a",2.23152236850573e-05,0.140899029041792
"Chtf8",1.5508123053945e-09,0.10226959400444,0.485,0.278,2.24216443113937e-05,NA,"a",2.24216443113937e-05,0.10226959400444
"Atp5g1",1.5584060652746e-09,0.157846184036481,0.414,0.248,2.25314348917402e-05,NA,"a",2.25314348917402e-05,0.157846184036481
"B4galt5",1.56176797475212e-09,0.103854317975084,0.394,0.219,2.25800413789661e-05,NA,"a",2.25800413789661e-05,0.103854317975084
"2210016F16Rik",1.65781248875948e-09,0.126809080566117,0.47,0.273,2.39686529624846e-05,NA,"a",2.39686529624846e-05,0.126809080566117
"Smad3",1.72019251312475e-09,0.132277621063389,0.206,0.088,2.48705433547576e-05,NA,"a",2.48705433547576e-05,0.132277621063389
"Psmc6",1.73543955884875e-09,0.133340384852491,0.473,0.282,2.50909851418352e-05,NA,"a",2.50909851418352e-05,0.133340384852491
"Gatad1",1.75995961023887e-09,0.119995738719007,0.417,0.236,2.54454960448336e-05,NA,"a",2.54454960448336e-05,0.119995738719007
"Ufc1",1.76641977200549e-09,0.117383426942587,0.379,0.21,2.55388970636553e-05,NA,"a",2.55388970636553e-05,0.117383426942587
"Cox6b1",1.80401417119769e-09,0.145836385924773,0.58,0.357,2.60824368871762e-05,NA,"a",2.60824368871762e-05,0.145836385924773
"Lamtor2",1.85182834391444e-09,0.10156529762304,0.273,0.131,2.6773734196315e-05,NA,"a",2.6773734196315e-05,0.10156529762304
"Pcm1",1.96842943428462e-09,0.102321561804972,0.367,0.2,2.84595527608871e-05,NA,"a",2.84595527608871e-05,0.102321561804972
"Lpin2",1.97064330129066e-09,0.128342350914272,0.244,0.115,2.84915608500604e-05,NA,"a",2.84915608500604e-05,0.128342350914272
"Myo5a",1.97983843884886e-09,0.134897289398838,0.395,0.225,2.86245041488768e-05,NA,"a",2.86245041488768e-05,0.134897289398838
"Tipin",1.98186140017852e-09,0.136421379528789,0.455,0.265,2.8653752123781e-05,NA,"a",2.8653752123781e-05,0.136421379528789
"Wars",1.98451587491713e-09,0.139160020834598,0.471,0.283,2.86921305195518e-05,NA,"a",2.86921305195518e-05,0.139160020834598
"Cdca3",1.99921590331065e-09,0.134515895348435,0.526,0.319,2.89046635300653e-05,NA,"a",2.89046635300653e-05,0.134515895348435
"Sap18",2.00837663433026e-09,0.115531833282127,0.271,0.133,2.90371093791469e-05,NA,"a",2.90371093791469e-05,0.115531833282127
"Lrrfip2",2.04753446285654e-09,0.0952843904867898,0.171,0.066,2.96032532639798e-05,NA,"a",2.96032532639798e-05,0.0952843904867898
"Cmtm7",2.14051162047454e-09,0.176541993517107,0.679,0.469,3.0947517008821e-05,NA,"a",3.0947517008821e-05,0.176541993517107
"Hist1h3c",2.16513485938416e-09,0.161580914251312,0.442,0.271,3.13035197969762e-05,NA,"a",3.13035197969762e-05,0.161580914251312
"Zfpm1",2.17096845362356e-09,0.124280677622734,0.282,0.142,3.13878619024895e-05,NA,"a",3.13878619024895e-05,0.124280677622734
"Ept1",2.18362119587643e-09,0.131379929128693,0.198,0.085,3.15707952499815e-05,NA,"a",3.15707952499815e-05,0.131379929128693
"Zc3h15",2.18721977319474e-09,0.102572711484782,0.414,0.238,3.16228234808495e-05,NA,"a",3.16228234808495e-05,0.102572711484782
"Pole4",2.30333625427735e-09,0.110225898283677,0.353,0.195,3.3301635564342e-05,NA,"a",3.3301635564342e-05,0.110225898283677
"Ppih",2.37745470467758e-09,0.0926295104704768,0.147,0.052,3.43732401202285e-05,NA,"a",3.43732401202285e-05,0.0926295104704768
"Ncoa1",2.39501681868593e-09,0.101750596642778,0.217,0.096,3.46271531645612e-05,NA,"a",3.46271531645612e-05,0.101750596642778
"Got2",2.39829296053575e-09,0.166208498320605,0.661,0.437,3.46745196234259e-05,NA,"a",3.46745196234259e-05,0.166208498320605
"Sbds",2.40157127022215e-09,0.126290712898183,0.23,0.105,3.47219174248719e-05,NA,"a",3.47219174248719e-05,0.126290712898183
"Creld2",2.48804511991969e-09,0.104200186501763,0.473,0.277,3.59721563437989e-05,NA,"a",3.59721563437989e-05,0.104200186501763
"Pbdc1",2.50745995117533e-09,0.101356530349304,0.306,0.161,3.62528559740929e-05,NA,"a",3.62528559740929e-05,0.101356530349304
"mt-Nd5",2.51900713003359e-09,0.143150497357232,0.652,0.425,3.64198050860257e-05,NA,"a",3.64198050860257e-05,0.143150497357232
"Ndufa2",2.52381973925083e-09,0.136382582920216,0.441,0.262,3.64893857900885e-05,NA,"a",3.64893857900885e-05,0.136382582920216
"Rpa3",2.58605260028464e-09,0.0968693108953893,0.153,0.056,3.73891484949153e-05,NA,"a",3.73891484949153e-05,0.0968693108953893
"Ccdc6",2.59982805050362e-09,0.117238612601271,0.305,0.157,3.75883139541813e-05,NA,"a",3.75883139541813e-05,0.117238612601271
"Taf9",2.68483630985665e-09,0.103800958583088,0.358,0.193,3.88173633679075e-05,NA,"a",3.88173633679075e-05,0.103800958583088
"Golm1",2.82008579745336e-09,0.104279979446311,0.256,0.124,4.07728004595807e-05,NA,"a",4.07728004595807e-05,0.104279979446311
"S100a10",2.84288738537438e-09,0.173629018021373,0.927,0.809,4.11024658177427e-05,NA,"a",4.11024658177427e-05,0.173629018021373
"Snora73b",2.86237507839637e-09,0.0752996310074305,0.115,0.033,4.13842188834548e-05,NA,"a",4.13842188834548e-05,0.0752996310074305
