"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","otherlog"
"Rab24",0.205426681128889,0.00834000940085083,0.233,0.265,1,0.596107
"Acbd3",0.205550695392584,0.035039240086771,0.242,0.279,1,-0.173854
"Rbm43",0.205881846273612,-0.0127152015581881,0.204,0.23,1,0.24869
"Ubn2",0.205962706304434,0.0290402153938532,0.219,0.254,1,0.277971
"Wars2",0.206164585146006,-0.00823947632521346,0.091,0.108,1,0.40074
"Pcnt",0.206173400235281,0.0359020073106976,0.366,0.421,1,-0.263814
"Rundc1",0.206219335806642,0.0160986991010191,0.115,0.136,1,0.25999
"Tmem167b",0.206413965266597,0.0548628720602648,0.157,0.142,1,-0.0626001
"Zfp668",0.206616861089656,0.00916277290818324,0.107,0.127,1,0.495782
"Hyls1",0.20739267345642,-0.0154205449247087,0.13,0.15,1,-0.476218
"Ormdl1",0.207519750309113,0.00798845115737581,0.148,0.172,1,-0.104292
"Rpl18",0.207530586756552,-0.00507680613183842,0.272,0.307,1,0.24274
"4921524J17Rik",0.208704901390703,0.00428466862679466,0.091,0.108,1,-0.0279235
"Entpd5",0.208715914022698,0.0420796192752224,0.236,0.275,1,-0.849716
"Rnf123",0.210050493690731,0.0830008840844244,0.264,0.251,1,0.326922
"Cstf2t",0.210737572682544,0.0131199263946396,0.184,0.21,1,-0.0918477
"Tpp1",0.21082026596542,0.0463419207890164,0.184,0.167,1,0.804147
"Pwwp2a",0.211760154011586,-0.0179443385014567,0.127,0.147,1,0.0508724
"Fam219b",0.212115976840724,0.0287875541636422,0.116,0.102,1,0.182159
"Foxj3",0.212360662623277,0.020745043879946,0.17,0.196,1,-0.505555
"Top3b",0.212374302197058,0.0165186411660694,0.187,0.215,1,0.29932
"Rptor",0.212720428077002,0.094951659133687,0.212,0.2,1,-0.0636959
"Zfp954",0.212883903676804,0.00243820953153143,0.112,0.132,1,0.562697
"Gbp6",0.212981661001788,0.0691813994452121,0.188,0.174,1,-0.138341
"Arfgap1",0.213156294561858,0.0256154928776311,0.197,0.228,1,-0.122609
"Gbe1",0.213388169838186,0.0400738110516966,0.127,0.113,1,0.395225
"Kri1",0.214205671280783,0.0419591198311879,0.281,0.321,1,-0.246956
"Dennd2d",0.21422125389467,0.0163146652525858,0.425,0.482,1,0.172155
"Synj1",0.214356106336609,0.0815740199864951,0.272,0.258,1,0.237829
"Papolg",0.214592691585914,-0.00435256804601278,0.152,0.174,1,0.278856
