"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","otherlog"
"Jhdm1d",1.17072636652843e-15,0.355921905280556,0.303,0.19,1.71991410506691e-11,NA
"Nudt5",1.20826637527575e-15,-0.202875297096233,0.194,0.354,1.77506413191761e-11,-0.573375
"Calm3",1.22725313053857e-15,-0.187385219562442,0.604,0.796,1.80295757407422e-11,-0.129447
"Cox6b1",1.2295909317102e-15,-0.223600485517265,0.506,0.684,1.80639203777545e-11,0.373707
"Rpa1",1.2423033487069e-15,-0.194024986107055,0.676,0.828,1.82506784958531e-11,-0.25212
"Ppp1r9b",1.26573921958362e-15,0.34360563159376,0.436,0.322,1.8594974874903e-11,-0.38383
"Srrt",1.28050141332805e-15,-0.217984897460417,0.515,0.706,1.88118462632024e-11,-0.24784
"Atp5g1",1.28739434655266e-15,-0.194216437979375,0.143,0.29,1.89131103452051e-11,-0.0190246
"Rtcb",1.2915197768998e-15,-0.201981919755532,0.469,0.657,1.8973717042435e-11,0.130574
"Mrpl46",1.33857490358378e-15,-0.21642650633564,0.216,0.374,1.96650039085493e-11,0.161657
"Lss",1.37032101017853e-15,-0.236151153405946,0.173,0.321,2.01313859605328e-11,-1.0711
"Naa10",1.41594769108621e-15,-0.220456167182389,0.301,0.477,2.08016875297475e-11,-0.0739018
"Rgs11",1.46167220531407e-15,0.147179405989975,0.106,0.037,2.1473426368269e-11,0.741319
"Sec61a1",1.60795991160176e-15,-0.210389128075578,0.475,0.661,2.36225390613414e-11,-0.505304
"Mrpl42",1.62755707392391e-15,-0.210557541464803,0.245,0.407,2.39104409730161e-11,0.112918
"Got2",1.63876275316046e-15,-0.20344328257039,0.449,0.635,2.40750636066803e-11,-0.203146
"Rmi2",1.70087163238263e-15,-0.184639706806754,0.133,0.28,2.49875051513332e-11,-0.796132
"Atp5o",1.76063282125435e-15,-0.208865576989076,0.51,0.7,2.58654567770476e-11,0.104489
"Pus7",1.77170015387008e-15,-0.158796277502256,0.112,0.258,2.60280469605053e-11,-0.384605
"Tfdp1",1.84903854280486e-15,-0.186787667995307,0.178,0.336,2.71642252323462e-11,-0.6473
"Cmah",1.89017682006324e-15,0.339918824113327,0.488,0.372,2.7768587663549e-11,-0.0720059
"1700017B05Rik",1.91621921983518e-15,-0.19519071848925,0.179,0.34,2.81511765585986e-11,1.01653
"Hspa8",1.92433096126245e-15,-0.214050954097251,0.836,0.908,2.82703461519066e-11,-0.296262
"C330027C09Rik",1.95173748939374e-15,-0.178132371838638,0.279,0.471,2.86729754566835e-11,NA
"Ahcy",2.04214698914886e-15,-0.198281046994077,0.234,0.396,3.00011814175858e-11,-0.995611
"Hmgn1",2.05910979555124e-15,-0.176209388941191,0.243,0.418,3.02503820064432e-11,-0.468719
"Cetn3",2.08471585621512e-15,-0.201257586684887,0.279,0.449,3.06265606436563e-11,0.42493
"Birc5",2.20851453536148e-15,-0.170367329830449,0.406,0.642,3.24452870389955e-11,-0.275785
"Rcl1",2.25557164992984e-15,-0.191237056857858,0.152,0.299,3.31366031091193e-11,-0.020105
"Smarca5",2.26235884896137e-15,-0.211684804877931,0.399,0.592,3.32363138500915e-11,-0.412262
"Mrps18a",2.34118683559336e-15,-0.197838774516878,0.213,0.37,3.4394375801702e-11,0.0579032
"Prpf3",2.35330928945862e-15,-0.186494363378017,0.182,0.336,3.45724667714367e-11,-0.476029
"Casp8ap2",2.41505346720462e-15,-0.19973300017206,0.293,0.469,3.5479550486703e-11,-0.155106
"Hist1h1e",2.43098241246451e-15,-0.217596716025492,0.399,0.579,3.57135626215162e-11,NA
"Mina",2.43559592618248e-15,-0.188271973710508,0.307,0.495,3.57813397515468e-11,NA
"Psma5",2.44723228872581e-15,-0.200796338916206,0.255,0.42,3.59522895536709e-11,-0.457754
"Cd247",2.55592776643807e-15,0.277252144950383,0.793,0.773,3.75491348167416e-11,0.313538
"Znrf2",2.67755314087833e-15,0.316575081156982,0.654,0.584,3.93359331926435e-11,-0.0444908
"Ung",2.70862904516344e-15,-0.232025027509483,0.112,0.247,3.97924693024961e-11,-1.02103
"Rpl26",2.85930208964608e-15,-0.1938959993434,0.833,0.932,4.20060069989905e-11,-0.57117
"Tra2a",2.86416263511498e-15,-0.215525195292186,0.281,0.451,4.20774132724741e-11,-0.323232
"Mrpl1",2.91850821777302e-15,-0.211220972786076,0.137,0.276,4.28758042273034e-11,-0.0234476
"Coq7",2.92356372987649e-15,-0.198313933367888,0.142,0.285,4.29500747556155e-11,-0.622152
"Txn2",2.96948248675563e-15,-0.198407631255547,0.375,0.559,4.36246672129269e-11,0.160298
"Grwd1",3.02233431621941e-15,-0.164370423027935,0.113,0.255,4.44011134395793e-11,-0.505996
"Nme4",3.04986807259273e-15,-0.207013543998761,0.091,0.221,4.48056118544598e-11,0.122668
"Zfp831",3.06865995207512e-15,0.18394796625132,0.122,0.047,4.50816833559356e-11,1.14865
"Kit",3.31103052369206e-15,0.24922539243429,0.184,0.088,4.864234942356e-11,0.722042
"Haus4",3.3547982912273e-15,-0.21541493550941,0.296,0.472,4.92853416964203e-11,-0.120153
"Melk",3.36006772093322e-15,-0.188342821431759,0.152,0.3,4.93627548882299e-11,-0.514956
"Ccdc86",3.36077707965604e-15,-0.149448444685357,0.112,0.252,4.93731760772269e-11,-0.498291
"Ndufb2",3.36637229074582e-15,-0.18220510548304,0.27,0.447,4.94553753233469e-11,0.218176
"Nus1",3.38163481619434e-15,-0.201725719549514,0.327,0.505,4.96795970847111e-11,-1.08289
"Btg2",3.4292774990879e-15,0.27740288779234,0.443,0.317,5.03795157391003e-11,-0.0965575
"Atp8b4",3.46163394749731e-15,0.353503752735242,0.507,0.399,5.0854864322683e-11,-1.3441
"Mrps22",3.66013822104543e-15,-0.182992292306492,0.166,0.316,5.37710906053784e-11,-0.534
"Cdca8",3.7351778909777e-15,-0.195427329918864,0.355,0.551,5.48734983963535e-11,-0.329291
"Pprc1",3.78171145332129e-15,-0.160180537650726,0.081,0.211,5.55571229607431e-11,-0.116597
"Them6",3.80187941565955e-15,-0.190871570401308,0.124,0.263,5.58534104954545e-11,-0.357863
"Dhx15",3.89554012043583e-15,-0.211518432387722,0.637,0.774,5.72293799093228e-11,-0.578186
"Clpb",3.95457416982052e-15,-0.178213648549014,0.148,0.293,5.80966491288333e-11,0.183213
"Slc19a1",4.36564424830626e-15,-0.172995206464173,0.116,0.258,6.41356796518673e-11,-0.257692
"Acly",4.45585882708663e-15,-0.218867154149099,0.525,0.696,6.54610220287297e-11,-0.659744
"Msh2",4.53204303521406e-15,-0.219090836703409,0.404,0.583,6.65802442303297e-11,-0.171981
"Ociad1",4.64748890152424e-15,-0.207791723465556,0.54,0.716,6.82762594522926e-11,0.257754
"Letm1",4.70326521451935e-15,-0.206312636873388,0.343,0.518,6.90956692665037e-11,-0.255517
"Elof1",4.83393389393268e-15,-0.185356065556221,0.261,0.433,7.10153228357650e-11,0.117391
"Hcfc1",4.87172950636121e-15,-0.198582014475067,0.439,0.63,7.15705781779526e-11,-1.06843
"Psmd11",4.88499325366854e-15,-0.201215762362592,0.275,0.442,7.17654358896445e-11,0.00780183
"Sympk",5.26778568975573e-15,-0.200736770539649,0.348,0.522,7.73890395682015e-11,-0.697373
"Cd160",5.29010755802002e-15,-0.212252777179169,0.206,0.367,7.77169701348721e-11,-0.767001
"Lsm6",5.39734307065788e-15,-0.220180550245483,0.336,0.506,7.92923670510349e-11,-0.164222
"Hic1",5.44764329070145e-15,-0.200031340129586,0.161,0.31,8.0031327583695e-11,3.08145
"Cks1b",5.50945908530783e-15,-0.208742414636523,0.224,0.381,8.09394634222573e-11,-0.376098
"Top2b",5.60520058408368e-15,0.220611944952662,0.855,0.837,8.23460017807734e-11,0.144852
"Zfp106",5.74684303268858e-15,-0.185043773858254,0.573,0.748,8.44268709932279e-11,-0.624584
"Ptma",5.78555617998245e-15,-0.201761704792976,0.278,0.45,8.49956058401221e-11,-0.544977
"Esf1",6.03640535913915e-15,-0.177687558969632,0.155,0.307,8.86808311311133e-11,-0.188904
"Zfp280b",6.16512674870845e-15,-0.168498555727625,0.143,0.294,9.05718770652758e-11,-0.528831
"Cox5b",6.31961501179879e-15,-0.191511662349608,0.382,0.565,9.2841464138336e-11,0.185245
"Atp10d",6.38003815891499e-15,0.174688293771818,0.139,0.058,9.37291405926201e-11,0.999154
"Afg3l2",6.39160924294699e-15,-0.175241196956362,0.309,0.487,9.38991313881342e-11,-0.307072
"Exosc10",6.68490266734599e-15,-0.206108652302149,0.294,0.465,9.820790508598e-11,0.0960394
"Klhdc4",6.72014684127388e-15,-0.199598683665361,0.222,0.379,9.87256772451546e-11,-0.697173
"Hmbs",6.8728677720291e-15,-0.193860777488879,0.172,0.321,1.0096930043888e-10,-0.394983
"Chchd2",7.04684509012961e-15,-0.204252243989034,0.49,0.681,1.03525201219094e-10,-0.062133
"Atp5d",7.11098844105662e-15,-0.206904355733272,0.651,0.801,1.04467531187563e-10,0.164908
"Psmd4",7.14127472562984e-15,-0.215697815324543,0.464,0.645,1.04912466994228e-10,-0.0891233
"Asns",7.33828899589291e-15,-0.215809334972142,0.116,0.254,1.07806803638663e-10,-0.479909
"Magt1",7.52292044613952e-15,-0.198960072638736,0.278,0.451,1.10519224274236e-10,-0.656502
"Ttc27",7.76076374643065e-15,-0.164845921837354,0.191,0.354,1.14013380198813e-10,-0.0814155
"Metap1",7.82984681378085e-15,-0.190217860875124,0.264,0.427,1.15028279541254e-10,-0.221793
"Farsa",7.89087091249792e-15,-0.17637871063574,0.278,0.452,1.15924784575507e-10,0.00331462
"Map4k4",7.90321911855463e-15,0.261655979034314,0.727,0.682,1.16106192070686e-10,-0.110348
"Sars",8.00754347619901e-15,-0.226453661213903,0.639,0.777,1.1763882120884e-10,-0.424154
"Slc16a6",8.4462930698766e-15,-0.159229420365357,0.104,0.244,1.24084491489557e-10,-0.208565
"Elavl1",8.73248979883528e-15,-0.19013057087973,0.364,0.542,1.28289007634689e-10,-0.185775
"Slc43a3",9.06990805015167e-15,-0.182181140915841,0.179,0.332,1.33246019164778e-10,-0.429965
"Alad",9.10726962329472e-15,-0.185554741730478,0.148,0.292,1.33794898035823e-10,-0.504977
"Psmc6",9.26203816284292e-15,-0.218888398435915,0.396,0.578,1.36068602650325e-10,-0.427919
"Trnt1",9.288561686097e-15,-0.215445973810202,0.231,0.39,1.36458259730451e-10,-0.292522
"Rbm8a",9.3908609898399e-15,-0.200133278104387,0.306,0.483,1.37961138801738e-10,-0.0962326
"mt-Nd4",9.40613772269766e-15,-0.147414680469172,0.719,0.86,1.38185569284151e-10,NA
"Exosc5",9.49283371705088e-15,-0.20061097077795,0.218,0.375,1.39459220137194e-10,0.24981
"Arhgap9",9.60985059048834e-15,0.258902802727603,0.699,0.649,1.41178315024864e-10,0.360865
"Eif2d",9.64308181589506e-15,-0.201700237425041,0.245,0.406,1.41666514957314e-10,-0.310444
"Prkcq",1.0186511525996e-14,0.273960127487398,0.691,0.621,1.49650040828407e-10,0.111077
"Rqcd1",1.02303167310212e-14,-0.206614624166372,0.296,0.459,1.50293583095432e-10,NA
"Thap3",1.03929716888357e-14,0.282541598487222,0.288,0.179,1.52683147080686e-10,0.497968
"Timm9",1.06371087822357e-14,-0.160848373767763,0.1,0.233,1.56269765119824e-10,-0.430338
"Kif15",1.07354118714591e-14,-0.167937319446638,0.343,0.544,1.57713935803605e-10,-0.451198
"Creld2",1.09749497899599e-14,-0.213961017082689,0.224,0.381,1.61232987364301e-10,-0.492209
"Hnrnpm",1.11210703826543e-14,-0.186497543164653,0.719,0.842,1.63379644991574e-10,-0.179035
"Akr1a1",1.13080151102162e-14,-0.191378422313718,0.658,0.831,1.66126049984187e-10,-0.324956
"Dcaf13",1.14597401411546e-14,-0.186126389278167,0.252,0.418,1.68355042413702e-10,-0.185948
"Ruvbl1",1.20736886986661e-14,-0.17427373602612,0.145,0.289,1.77374560672103e-10,-0.40717
"Abcb1b",1.21585622101814e-14,-0.205305798665139,0.227,0.385,1.78621437429775e-10,-0.460539
"Ptges3",1.24008025936787e-14,-0.170346703392125,0.172,0.322,1.82180190903734e-10,-0.960962
"Asna1",1.25104506237669e-14,-0.204193074919581,0.275,0.443,1.83791030113759e-10,-0.190073
"Sf3b5",1.26541983816614e-14,-0.174408792647894,0.285,0.458,1.85902828424987e-10,0.070839
"Lta",1.26943097929135e-14,-0.24423477274988,0.061,0.179,1.86492105167692e-10,0.823588
"Ssr1",1.27744313762252e-14,-0.203934321959151,0.449,0.625,1.87669171348124e-10,-0.531759
"Mecr",1.42156441588471e-14,-0.18249904104524,0.142,0.282,2.08842028337623e-10,-0.0985085
"Psmg2",1.42280025293958e-14,-0.171694504094931,0.199,0.356,2.09023585159354e-10,-0.216912
"Raly",1.43473149123499e-14,-0.183780152137863,0.773,0.879,2.10776403377332e-10,-0.108272
"Uqcrb",1.52916951881916e-14,-0.192710605180035,0.363,0.538,2.24650294009723e-10,0.286501
"Emc6",1.60057641362299e-14,-0.203227975380922,0.258,0.42,2.35140680925354e-10,-0.150143
"Acat1",1.64185968906183e-14,-0.20313384735955,0.381,0.563,2.41205606920074e-10,0.235479
"Snrpf",1.66235412839296e-14,-0.191054576458647,0.299,0.472,2.4421644500221e-10,-0.191685
"Commd1",1.67415690890333e-14,-0.185485796984236,0.209,0.369,2.45950391486988e-10,0.0354574
"Gale",1.6833619460484e-14,-0.178085258840861,0.137,0.275,2.47302703493971e-10,-0.188229
"Fam96a",1.74782646046048e-14,-0.207326518480915,0.387,0.562,2.56773185306249e-10,NA
"Cox7a2",1.75123842938464e-14,-0.204770915553154,0.485,0.678,2.57274437660897e-10,0.271003
"2010107E04Rik",1.75655256119938e-14,-0.204718529927286,0.415,0.589,2.58055136765802e-10,NA
"Drap1",1.76711958558948e-14,-0.20030900458207,0.396,0.582,2.5960753831895e-10,0.00430133
"Txlna",1.80451528640883e-14,-0.202279367923024,0.315,0.483,2.65101340726322e-10,-0.339611
"Paxip1",1.8642347054488e-14,-0.175221322064451,0.215,0.377,2.73874720577483e-10,-0.724528
"Plaa",1.88352673594124e-14,-0.191080036756732,0.375,0.55,2.76708912777127e-10,-0.210905
"Tnfrsf9",1.8852240370941e-14,-0.128624217261149,0.266,0.439,2.76958263289494e-10,-0.297564
"Pcmt1",1.96862081954714e-14,-0.184046891898797,0.3,0.474,2.8921008459967e-10,-0.277421
"Tubg1",2.14654870904313e-14,-0.180199482458462,0.219,0.386,3.15349470845526e-10,-0.400932
"Tmsb4x",2.18465158319181e-14,-0.14290274181732,0.993,0.998,3.20947164086708e-10,0.549614
"Pelp1",2.18969964821006e-14,-0.183475240109373,0.204,0.356,3.2168877531854e-10,-0.248146
"Azin1",2.24384827475429e-14,-0.211163416906535,0.413,0.589,3.29643750044153e-10,-0.772236
"Rev1",2.25718366524439e-14,-0.167952591428058,0.084,0.209,3.31602852261053e-10,-0.577591
"Prkacb",2.26145499716886e-14,0.257284487434066,0.684,0.633,3.32230353634077e-10,0.129418
"Rbm17",2.29626461145096e-14,-0.164416466939819,0.285,0.455,3.3734423406826e-10,-0.198379
"Capza2",2.30691607721935e-14,-0.214521450316719,0.575,0.728,3.38909040904295e-10,-0.308948
"Naf1",2.35871015617396e-14,-0.134333593772448,0.093,0.224,3.46518109043517e-10,-1.00539
"Dnaja3",2.36191660709458e-14,-0.190880319700145,0.201,0.351,3.46989168748265e-10,-0.244656
"Mrps14",2.44248650685522e-14,-0.176686556535724,0.339,0.514,3.588256927221e-10,0.109778
"Mgst2",2.45296325520206e-14,0.28829652040139,0.296,0.184,3.60364831821735e-10,1.94541
"Nol10",2.53882064477648e-14,-0.174021482836637,0.125,0.264,3.72978140924112e-10,-0.635596
"Zwint",2.61902719411979e-14,-0.172021029893945,0.216,0.376,3.84761285088138e-10,0.263606
"Fam78a",2.74212899989425e-14,0.313978014330617,0.693,0.647,4.02846171374464e-10,0.58431
"Inpp4b",2.77158499283742e-14,0.368989851950115,0.61,0.541,4.07173551297746e-10,1.1222
"Mrpl34",2.81985067098329e-14,-0.183788124179321,0.325,0.504,4.14264262074154e-10,-0.00707051
"Cdca3",2.96855989095989e-14,-0.130762286262583,0.304,0.505,4.36111133580917e-10,-0.530751
"Noc4l",2.97385226320534e-14,-0.195431842142515,0.207,0.36,4.36888635987496e-10,0.0618515
"Gbp9",3.02704997286725e-14,0.294450535192542,0.243,0.14,4.44703911513928e-10,0.188919
"Elp2",3.0412518083653e-14,-0.192965362227154,0.273,0.445,4.46790303166946e-10,-0.195498
"Vps29",3.080821881736e-14,-0.201395458625577,0.3,0.464,4.52603542645836e-10,-0.018634
"Wdr55",3.08379972287311e-14,-0.197464591439677,0.221,0.375,4.53041017287289e-10,-0.390644
"Eri1",3.21310445908802e-14,-0.172587426044954,0.361,0.545,4.72037176084621e-10,-0.610276
"Spata5",3.23820770732225e-14,-0.143011080143136,0.118,0.256,4.75725094282712e-10,-0.176313
"S100a6",3.24428522414741e-14,-0.426166044096962,0.11,0.238,4.76617942279495e-10,-0.771562
"Gimap6",3.45378681260375e-14,0.226601726950363,0.846,0.807,5.07395820639616e-10,1.20061
"Tacc3",3.58344830065927e-14,-0.153453079193342,0.363,0.56,5.26444389849854e-10,-0.471182
"C230052I12Rik",3.65301978965521e-14,-0.175032411080448,0.109,0.238,5.36665137298247e-10,NA
"Eif4e",3.77844404169613e-14,-0.168059500791937,0.166,0.309,5.55091214165579e-10,-0.705657
"Cisd1",4.21031479428902e-14,-0.18327228101126,0.224,0.382,6.18537346429e-10,-0.107909
"Pfdn2",4.23459623883337e-14,-0.188146155835963,0.181,0.328,6.2210453344701e-10,-0.352232
"Pola1",4.24148130118429e-14,-0.180088101420194,0.321,0.507,6.23116017956984e-10,-0.357191
"Ccnl1",4.34389853379947e-14,0.286946299087742,0.439,0.329,6.3816213360048e-10,0.304098
"Cstf2",4.38064429220292e-14,-0.170071731074339,0.293,0.462,6.43560452967532e-10,-0.421551
"Noa1",4.53570224555141e-14,-0.169307411106507,0.139,0.281,6.66340016893958e-10,0.016804
"Cd97",4.55964035316487e-14,0.322255928901432,0.633,0.553,6.69856764283451e-10,NA
"Dpp9",4.60764742455579e-14,-0.183460211179528,0.201,0.355,6.76909483141491e-10,-0.300294
"Vcp",4.67178399538898e-14,-0.205885654125786,0.53,0.694,6.86331786762595e-10,-0.121244
"Dyrk3",4.71079916421889e-14,-0.118847119703527,0.015,0.106,6.92063505215396e-10,-0.469703
"Mrpl28",4.92708638954509e-14,-0.193332448720539,0.331,0.497,7.2383826148807e-10,-0.0656592
"Krtcap2",4.97114735118741e-14,-0.171181330370173,0.337,0.513,7.30311257362942e-10,0.0836556
"Nsmce4a",4.9934726138488e-14,-0.193942922154302,0.478,0.65,7.33591061700528e-10,-0.353792
"5730508B09Rik",5.21654963339035e-14,0.281505283429485,0.431,0.314,7.66363306641376e-10,NA
"Ndufc1",5.24205816238498e-14,-0.189849867279779,0.219,0.372,7.70110764635978e-10,0.19069
"Rrn3",5.25481801615339e-14,-0.186039709138174,0.249,0.409,7.71985314753095e-10,-0.536305
"Bccip",5.31087904256759e-14,-0.183518867462962,0.237,0.392,7.80221240143605e-10,-0.0720178
"Timeless",5.34268621723803e-14,-0.209528194623974,0.261,0.421,7.84894032174438e-10,-0.0772443
"Mapkapk3",5.56809022570165e-14,-0.191163729076736,0.164,0.307,8.18008135057829e-10,0.241857
"Ankrd28",5.59669671298307e-14,-0.165986552076185,0.185,0.333,8.22210714104343e-10,-0.314065
"Mrps11",5.86340734329673e-14,-0.178657758017457,0.204,0.359,8.61393172803722e-10,-0.192134
"Ei24",6.19907077875774e-14,-0.219901158443777,0.294,0.456,9.10705488107299e-10,-0.203369
"Dnajc2",6.56295219244424e-14,-0.194265433309653,0.333,0.497,9.64163306591983e-10,-0.291443
"Pdcd11",7.3407432768659e-14,-0.184556936529466,0.297,0.456,1.07842859480437e-09,-0.221424
"Dcun1d5",7.34522126632231e-14,-0.188040669959658,0.288,0.449,1.07908645623541e-09,-0.191319
"Bcas2",7.35170737411325e-14,-0.17838612408853,0.288,0.455,1.08003933033098e-09,0.136318
"Tsfm",7.44405216342027e-14,-0.167980603125373,0.149,0.288,1.09360570332807e-09,-0.332098
"Ndufaf4",8.00577108742939e-14,-0.147646408934509,0.11,0.244,1.17612783045425e-09,-0.696908
"Ube2e1",8.17403483835261e-14,-0.183492845691391,0.301,0.469,1.20084745810238e-09,-0.348967
"Oat",8.27250090248364e-14,-0.177911939249535,0.236,0.396,1.21531310758387e-09,-0.132842
"Ino80e",8.28940324308141e-14,-0.176163251021268,0.21,0.365,1.21779623044109e-09,-0.136358
"Rrbp1",8.30560985058394e-14,-0.200636087330888,0.385,0.556,1.22017714314929e-09,-0.503185
"Slc25a45",8.35682254716822e-14,0.229933526813733,0.204,0.109,1.22770080040448e-09,-0.0322902
"Ndufa8",8.49564199159835e-14,-0.205122636131493,0.461,0.635,1.24809476498571e-09,0.0266522
"Srp19",8.62675384268202e-14,-0.190447885408089,0.285,0.449,1.26735640702841e-09,0.141064
"Ints2",8.63761200128845e-14,-0.14052077708967,0.127,0.265,1.26895157910929e-09,-0.316342
"Rwdd4a",8.74775751755384e-14,-0.193717918593701,0.222,0.371,1.28513305690383e-09,-0.284613
"Dhodh",9.06455220106276e-14,-0.171142376575319,0.101,0.229,1.33167336385813e-09,-0.451255
"Cul1",9.25055948434409e-14,-0.181867891288608,0.372,0.537,1.35899969384499e-09,-0.468136
"Itgb1",9.79765076769518e-14,-0.183738818988598,0.449,0.616,1.4393728742821e-09,0.869339
"Zfp259",1.00414500855257e-13,-0.157989764356815,0.291,0.464,1.47518943206458e-09,NA
"Larp4",1.01611279973741e-13,-0.1831452406453,0.246,0.4,1.49277131409423e-09,-0.672305
"Clspn",1.04259962187964e-13,-0.133646666776911,0.299,0.484,1.53168310450337e-09,-0.26773
"Gtf2h5",1.05696257965331e-13,-0.206689130983357,0.285,0.443,1.55278372576867e-09,0.104011
"Tuba1c",1.10967854759666e-13,-0.183939415213938,0.303,0.481,1.63022875427425e-09,-0.583065
"Cbx1",1.1360871791825e-13,-0.173031570073904,0.369,0.535,1.66902567493702e-09,-0.0424067
"Samd1",1.15316645151945e-13,-0.169332227035031,0.207,0.365,1.69411683392723e-09,-0.0143571
"Blm",1.20990612796402e-13,-0.149396210347854,0.221,0.385,1.77747309259195e-09,-0.621363
"Rdx",1.21997867348286e-13,-0.199787473599893,0.516,0.683,1.79227066921367e-09,-0.342159
"Ccni",1.25750980664982e-13,0.263311341354671,0.642,0.582,1.84740765694926e-09,-0.198838
"Cdca5",1.2920657483969e-13,-0.174021581027041,0.209,0.362,1.89817379096989e-09,-0.461222
"Taldo1",1.29547463788966e-13,-0.190821689359002,0.494,0.678,1.90318179052369e-09,0.141285
"Fam111a",1.31506374298716e-13,-0.177596541104095,0.455,0.636,1.93196014482243e-09,-0.0825997
"Ddx10",1.31643294641029e-13,-0.160694336632302,0.222,0.379,1.93397164157136e-09,-0.221498
"Spcs3",1.35054052478867e-13,-0.194736635529077,0.513,0.689,1.98407908496704e-09,-0.571986
"Incenp",1.36659574381534e-13,-0.176542712615117,0.409,0.603,2.00766580723911e-09,-0.238296
"Nsdhl",1.38904924891089e-13,-0.172771982567046,0.143,0.278,2.04065225157499e-09,-0.205656
"Scap",1.39889370450192e-13,-0.180495464365777,0.255,0.418,2.05511474128377e-09,-0.44572
"Cd226",1.40366870055567e-13,0.263745675097975,0.403,0.289,2.06212968798633e-09,0.393405
"Rac2",1.43547736637645e-13,0.213451949642,0.893,0.9,2.10885979894364e-09,0.691103
"Nudt19",1.4814436862954e-13,-0.178251804045456,0.251,0.402,2.17638891953657e-09,-0.113569
"Gpr65",1.510090437172e-13,-0.161942420340976,0.169,0.316,2.21847386124939e-09,0.536515
"Ndc1",1.5752900129488e-13,-0.176011012150278,0.131,0.261,2.31425855802309e-09,-0.657089
"Ipo4",1.58200979726146e-13,-0.161550730371609,0.094,0.217,2.32413059315681e-09,-0.695203
"Npm3",1.62051563000019e-13,-0.16888973954846,0.188,0.332,2.38069951203328e-09,-0.304407
"Stt3a",1.66628228917339e-13,-0.181904950336136,0.381,0.554,2.44793531102463e-09,-0.0800484
"Lzic",1.69345971398975e-13,-0.159855884532339,0.154,0.293,2.48786166582234e-09,-0.190623
"Mrps5",1.69862775357098e-13,-0.1644341258166,0.182,0.327,2.49545403277113e-09,-0.0947454
"Ehd4",1.7429399146975e-13,-0.171604340856137,0.233,0.387,2.5605530286821e-09,-0.837529
"Srrm1",1.76214031719923e-13,-0.185469452082026,0.49,0.659,2.58876033999739e-09,0.104814
"Fam105a",1.80766364696645e-13,0.309392047237053,0.493,0.398,2.65563866375841e-09,NA
"H2-Oa",1.83489139442921e-13,0.218189704227562,0.251,0.146,2.69563894755596e-09,2.11169
"E130012A19Rik",1.85171237325538e-13,-0.154741164617291,0.122,0.254,2.72035064754947e-09,NA
"Clic4",1.8793833287782e-13,-0.177973389290262,0.258,0.419,2.76100204830805e-09,-1.7194
"Utp14a",1.88632828701067e-13,-0.17276334267749,0.209,0.361,2.77120488644738e-09,-0.0921054
"Bud31",1.88986262909743e-13,-0.198055559188106,0.497,0.653,2.77639718840703e-09,-0.140281
"Prpf4",1.94933575974724e-13,-0.176376942839174,0.184,0.329,2.86376916464467e-09,-0.359668
"Rpl13",1.98209122019417e-13,-0.186803063362576,0.757,0.874,2.91189021158725e-09,0.597917
"Ncbp2",2.01115198809802e-13,-0.176177355987099,0.231,0.386,2.9545833857148e-09,-0.0761137
"Clk1",2.01278070212832e-13,0.35189834902819,0.539,0.461,2.95697612949671e-09,0.706357
"Ndufb9",2.09051232906741e-13,-0.203432698187423,0.452,0.629,3.07117166263294e-09,0.110951
"Bms1",2.09168075552056e-13,-0.199752869527769,0.397,0.551,3.07288819793526e-09,-0.472306
"Mtx1",2.13602290802815e-13,-0.163035132932376,0.187,0.332,3.13803125418415e-09,-0.210864
"Hid1",2.18106361671112e-13,0.184218942112001,0.146,0.066,3.2042005593103e-09,-0.489908
"Dpy30",2.18110920277765e-13,-0.185556320354764,0.233,0.383,3.20426752980064e-09,-0.10202
"Alcam",2.24889874871593e-13,-0.172015526961188,0.154,0.291,3.30385715173857e-09,-1.48972
"Sf1",2.28668742368076e-13,-0.190621272434471,0.516,0.679,3.3593724941294e-09,-0.248903
"Spr",2.44480116880088e-13,-0.170725741398155,0.209,0.359,3.59165739708538e-09,0.299526
"Cnot6",2.47777944032127e-13,-0.191844406180512,0.528,0.717,3.64010577577598e-09,-0.60127
"Nup155",2.48625579429474e-13,-0.149054876065375,0.242,0.403,3.65255838739841e-09,-0.641761
"Mbp",2.52588310321469e-13,0.346851594765429,0.558,0.48,3.71077486693271e-09,-0.0641099
"Actl6a",2.57443327352514e-13,-0.193684735109367,0.412,0.581,3.78209992213578e-09,-0.246088
"Prdx3",2.57922401726361e-13,-0.159523695218641,0.228,0.382,3.78913800376196e-09,-0.132829
"Mrpl37",2.61585491553829e-13,-0.169829258802343,0.199,0.344,3.8429524564173e-09,-0.224081
"Gsto1",2.66697996977868e-13,-0.167121680336076,0.266,0.434,3.91806027360186e-09,-0.132418
"Stt3b",2.73056865658445e-13,-0.19143562574183,0.527,0.692,4.01147841338822e-09,-0.530245
"Aim1",2.75598146700537e-13,-0.191091917558983,0.316,0.484,4.04881237317759e-09,NA
"Tsn",2.79449786908347e-13,-0.197406818853179,0.443,0.622,4.10539681947053e-09,0.0573873
"0610007P14Rik",2.89421207997082e-13,-0.187398418548073,0.218,0.363,4.25188696668512e-09,NA
"Bak1",2.90101208707661e-13,-0.173339208383259,0.333,0.509,4.26187685712425e-09,0.0443315
"Pnpt1",2.94819854851951e-13,-0.183092112388468,0.206,0.353,4.33119848763001e-09,-0.152776
